id,abreviatura,nombre_completo,descripcion,fecha_de_lanzamiento
1,ykw1,Yo-Kai Watch 1,"Yo-Kai Watch narra las aventuras de un niño, llamado Nate, que tiene un reloj especial que le alienta a descubrir seres misterios llamados Yo-Kai. Intentará averiguar por qué se comportan mal con la esperanza de poder hacerles entrar en razón.",2013-7-11
2,ykw2,Yo-Kai Watch 2,"Yo-Kai Watch 2', 'El juego trata sobre las aventuras de Nathan Adams, un niño de 11 años al que le roban el reloj Yo-kai, junto a Whisper y Jibanyan, tendrán que adentrarse en el pasado para derrotar a Lady Desdicha, villana principal, y sus secuaces, los Yo-kai maléficos.",2014-7-10
